Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled RRV Richmond,Current Quantity RRV Richmond,New Quantity RRV Richmond,Stock Alert Enabled RRV Richmond,Stock Alert Count RRV Richmond,Price RRV Richmond,Enabled TVM McHenry,Current Quantity TVM McHenry,New Quantity TVM McHenry,Stock Alert Enabled TVM McHenry,Stock Alert Count TVM McHenry,Price TVM McHenry
AVBDBSDLLBOZQGU3Z7ERPCSY,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Green,,,TBDL Exclusive,TBDL Exclusive,,,,,visible,Physical good,,,,,,,,37.23,,N,,,,,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Green,,,,,,,,N,,,,,,Y,1976,,,,
G52K4BZL6RURMC4TAFLTZNBZ,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Blue,,,TBDL Exclusive,TBDL Exclusive,,,,,visible,Physical good,,,,,,,,37.23,,N,,,,,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Blue,,,,,,,,N,,,,,,Y,1997,,,,
DSIVSGG7VCDDY3ECS4JWB7C6,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Silver,,,TBDL Exclusive,TBDL Exclusive,,,,,visible,Physical good,,,,,,,,37.23,,N,,,,,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Silver,,,,,,,,N,,,,,,Y,1924,,,,
RFCERCH3HG52WB4JNRFBY22X,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Black,,,TBDL Exclusive,TBDL Exclusive,,,,,visible,Physical good,,,,,,,,37.23,,N,,,,,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Black,,,,,,,,N,,,,,,Y,1987,,,,
LER56UGGJV5J5VGZ2ZQTQB63,"2–3"" Orange Selenite Sphere – Gazing & Energy Work",,,"This radiant **2""–3"" Orange Selenite Gazing Ball** is a powerful yet gentle tool for those seeking **emotional transformation, creative awakening, and energetic grounding**.

Unlike traditional white selenite, **orange selenite** carries the same cleansing and high-vibrational properties but adds the vibrant energy of the **sacral chakra** — the center of **passion, joy, and flow**. Its peachy-orange hue resonates with vitality, sensuality, and deep emotional nourishment.

Hand-carved and polished into a perfectly smooth sphere, this gazing ball serves as both a metaphysical tool and a striking altar piece.

🌟 **Metaphysical Benefits:**
- **Cleanses energy fields** while also gently recharging your creative and emotional centers  
- Stimulates **joy, self-expression, and sensuality**  
- Enhances meditative focus, especially during **gazing or scrying practices**  
- Helps dissolve energy blocks in the **sacral chakra**, tied to relationships, boundaries, and emotional flow  
- Aids in releasing energetic “stuckness,” promoting clarity and flow  

📿 **Spiritual Uses:**
- Place on your altar to **amplify the vibration** of the surrounding space  
- Use in meditation or divination (gazing/scrying) to access **emotional insight or intuitive guidance**  
- Hold during affirmations or journaling to boost **creativity and confidence**  
- Pairs beautifully with **carnelian, moonstone, and orange calcite**

📏 **Size:**
- Each gazing ball measures approx. **2 to 3 inches in diameter**  
- Natural variations in color and veining are part of its unique energy

🧼 **Self-Cleansing Energy**:  
Selenite doesn’t hold onto negative energy and **does not need to be cleared**, making it a reliable companion for daily energy work.

✅ Ethically sourced. Hand-polished. Comes ready to gift or place in sacred space.

💬 **Affirmation:**  
*“I embrace joy, vitality, and the creative flow of life.”*
Prices already include taxes, credit card and shipping info. nice and simple for you!",Energy & Elements,Energy & Elements,"Orange Selenite Sphere – 2–3"" for Meditation","Polished orange selenite ball ideal for meditation, scrying, or energy focus.",,,visible,Physical good,,,,Y,N,N,N,49.99,,N,,N,,N,,,,,,,35.27,Raspberry Oliver,,N,,,,,,Y,723,,,,
ML3R7EQABCW45ERG5VSKO4X4,"3 Pcs California White Sage + Lavender Bundle Smudge 4""",,,"This beautifully aromatic set includes **three 4-inch smudge bundles** crafted from **premium White Sage** and **fragrant Lavender**, freshly harvested from **Southern California**. Each bundle is hand-wrapped and dried with care to preserve its full potency and soothing scent.


Blending the **cleansing power of sage** with the **calming essence of lavender**, these bundles are perfect for **ritual smoke cleansing**, **energetic protection**, and **emotional grounding**.


🌿 **Why Use It?**


- **White Sage (Salvia apiana)** has been used for generations in sacred ceremonies to **clear negative energy**, uplift vibration, and purify environments, objects, and auras.
- **Lavender** promotes **peace, emotional healing, and sleep**. Its soothing floral scent calms anxiety and creates a sense of serenity after intense emotional work or energetic clearing.
- This pairing is ideal for anyone seeking both **spiritual cleansing** and **emotional restoration**.


🌟 **Best For:**
- Pre- and post-ritual grounding  
- Clearing your space after difficult interactions  
- Soothing energy before sleep or meditation  
- Energetically resetting crystals, tools, and self  
- Creating a sense of comfort, safety, and spiritual protection


📦 **What’s Included:**
- 3x 4-inch White Sage & Lavender bundles  
- Hand-tied, air-dried, and ready to use


🕊️ **How to Use:**
Light the tip of the bundle, allow it to smolder, and gently wave the smoke around your body or space. Focus your intention on what you are clearing and what energy you are welcoming in.


💬 **Affirmation:**  
*“I clear the energy around me and invite in peace, clarity, and healing.”*


✅ Sustainably harvested from California. Naturally air-dried. No synthetic fragrances or dyes.",Space & Atmosphere,Space & Atmosphere,,,,,visible,Physical good,,,,Y,N,N,N,24.99,,N,,N,,N,,,,,,,16.00,Grey Aphrodite,,N,,,,,,Y,20,,,,
4FVFQVHDAKHDGUCBWQ4FRAYT,4 Pcs White Sage + Red Eucalyptus Bundle Smudge,,480212V,"Freshly harvested from Southern California, this set includes **four 4.5"" bundles** of ethically sourced **White Sage** hand-wrapped with fragrant, vibrant **Red Eucalyptus** leaves.


This powerful botanical duo offers both **traditional energy cleansing** and **respiratory support**, making it ideal for grounding rituals, meditation, or preparing your sacred space for healing work.


🌬️ **Why Use It?**


- **White Sage (Salvia apiana)** is a revered sacred plant used for centuries in Indigenous and spiritual traditions to **clear negative energy**, uplift space, and promote purification.
- **Red Eucalyptus** adds a unique energetic signature: it supports **release, focus, and deep breathing**, and is known for its **antimicrobial and clearing properties**.
- Together, this combination creates a **ritual smoke that calms, resets, and refreshes** the energy around you — perfect before using sound tools like singing bowls or during full moon ceremonies.


🌟 **Ideal For:**
- Energy clearing before or after clients (Reiki, Tarot, coaching, massage)
- Full and new moon intention setting
- Resetting crystals, altars, or your own aura
- Use in breathwork, yoga, or journaling practice to anchor presence


📏 **Bundle Size:**
- Each stick measures approx. **4.5 inches long**
- You will receive a **set of 4 bundles**


🕊️ **Suggested Ritual:**
Light the tip of the bundle and allow it to smolder. Fan the smoke around your body, room, or sacred items using your hand or a feather. Use with intention — breathe deeply and invite in renewal.


✅ All-natural. Sustainably harvested. Each bundle is handcrafted with care.


💬 **Affirmation**: *“I clear the past and breathe in new energy with clarity and purpose.”*


Price includes shipping and handling!",The Apothecary Cabinet,The Apothecary Cabinet,,,,,visible,Physical good,,,,Y,N,N,N,26.99,,N,,N,,N,,,,,,,16.00,Grey Aphrodite,,N,,,,,,Y,12,,,,
FZNSBGCCKBD7RITVQDEVR3HK,5 items,Regular,,,,,,,,,unavailable,Physical good,,,,Y,,,,variable,,Y,,N,,N,,,,,,,,,,N,,,,,,N,,,,,
XY2EF3Z7XDQTI4TI5NWWPWMC,"7 Chakra Stones & Silver, Spiritual Jewelry, Chakra Bracelet",Default Title,,"With its ability to balance and align the 7 chakras, this bracelet offers potential benefits for overall well-being. Elevate your wardrobe and energy with this cute root chakra accessory.",The New Things,The New Things,,,,,visible,Physical good,,,,Y,,,,36.23,,N,,N,,N,#titleed2d23d5-8cca-4266-9791-2a033f7b0340,Default Title,,,,,,,,N,,,,,,Y,1,,,,
TS5KP4NT37LGTLVV74T57CBS,7 Chakras Engraved Crescent Moon Selenite Plate,shipping in the US.,,"Elevate your ritual space with this beautifully hand-carved **Crescent Moon Selenite Plate**, engraved with the **7 chakra symbols** to support energetic alignment and spiritual intention.

Each plate is **handmade in Morocco** from high-vibration selenite, polished to a soft sheen and intricately etched with sacred chakra glyphs — making it a powerful tool for **charging crystals**, enhancing meditation, or anchoring a peaceful altar.

🧘‍♀️ **Why Selenite?**
- Known for its **cleansing, calming, and amplifying** properties
- **Does not need to be cleansed** — in fact, it **cleanses other stones**
- Supports **clarity, peace, and energetic flow**

🌈 **Why the Chakra Symbols?**
- The **seven engraved symbols** represent each major chakra from Root to Crown
- Encourages **balanced energy flow** in your space or on your body
- Ideal for use in **chakra alignment**, **Reiki**, or **intention-setting**

📏 **Dimensions:**
- Approx. **5.25"" L x 3.25"" W x 0.5"" H**
- Crescent moon shape makes it perfect for **celestial-themed rituals**

📦 **What You Can Use It For:**
- Lay **crystals or jewelry** on the plate to **cleanse and charge them**
- Use during **chakra meditations** to represent alignment and flow
- Display on your **altar or bedside** for a gentle, peaceful energy anchor
- Pair with your singing bowl or incense for a complete ritual setting

🕊️ **How to Use:**
- Place your favorite crystals or tools on the plate overnight or between sessions
- Set the plate in sunlight or moonlight to amplify its cleansing energy
- Use during meditation by placing it nearby to raise the vibration of your space

✅ Ethically handcrafted in Morocco using natural selenite  
✅ All-inclusive pricing: Includes shipping, tax, and card fees

💬 **Affirmation**:  
*“I invite balance, light, and clarity into my space and spirit.”*

Please note there are different prices between the United States at and around the world.",Energy & Elements,Energy & Elements,,,,,visible,Physical good,,,,Y,N,N,N,34.99,,N,,N,,N,,,,,,,23.00,Pink Corydalis,,N,0,,,,,Y,100,,,,
WD7YU6QCWYFQCG722NZU5ZEO,7 Chakras Engraved Crescent Moon Selenite Plate,shipping outside the U.S.,2672314,,Energy & Elements,Energy & Elements,,,,,visible,Physical good,,,,,,,,55.99,,N,,,,N,,,,,,,48.40,,,N,,,,,,Y,,,,,
TPTAMV3BWGV2U6IIFDFOYWZT,925 Sterling Silver Heavy Plated Tennis Bracelet Featuring 50 Crystals,Default Title,,"The <strong>Swarovski Crystal Bracelet – Model P-B1-6.5</strong> is a refined piece designed to add a touch of elegance to any ensemble. This bracelet is a timeless accessory that combines the beauty of 50 Swarovski crystals with a design that complements any outfit. Whether you&#39;re treating yourself or looking for the perfect gift, measuring approximately 6.5 inches in length and 6mm in width, this bracelet features genuine Swarovski crystals known for their exceptional clarity and brilliance.<br/><br/><br/>✨ Product Highlights:<br/><ul><li><strong>Material</strong>: High-quality Swarovski crystals renowned for their sparkle and durability.</li><li><strong>Design</strong>: A classic and versatile style suitable for both everyday wear and special occasions.</li><li><strong>Size</strong>: Approximately 6.5 inches in length and 6mm in width, designed to fit comfortably on most wrists.</li></ul>💎 Metaphysical Properties:<br/>While Swarovski crystals are man-made, they are often associated with the following metaphysical properties:<br/><ul><li><strong>Clarity</strong>: Enhancing mental clarity and focus.</li><li><strong>Energy Amplification</strong>: Believed to amplify the energy of other stones and intentions.</li><li><strong>Protection</strong>: Thought to deflect negative energies and promote a sense of balance.</li></ul><br/><br/>✅ **All-inclusive pricing** — Shipping, taxes, and card fees are already included.<br/><br/><br/><br/><br/>",Energy & Elements,Energy & Elements,,,,,visible,Physical good,,,,Y,N,N,N,125.00,,N,,N,,N,#title7c700c40-e065-4976-8a90-f00eb5eec6a8,Default Title,,,,,85.00,Asure Missy,,N,,,,,,Y,5,,,,
WDDFD7ZBMUOYB4RWAH2L2FT5,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), Gold - 422969, Yes",,"Abstract Neon Floral Delight framed print, available in multiple frame colours. Ready to hang from the box and handmade in the United Kingdom.",,,,,,,visible,Physical good,,,,Y,,,,156.23,,N,,N,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,Gold - 422969,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,Yes,,,,N,,,,,,Y,1000,,,,
VGOCC4AG246V6LLE6DW7IEQ2,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), Gold - 422969, No",,,,,,,,,visible,Physical good,,,,,,,,137.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,Gold - 422969,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,No,,,,N,,,,,,Y,1000,,,,
XM35OBSZ5H3QWOAKEM3TAE3D,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), Teak - 123869, Yes",,,,,,,,,visible,Physical good,,,,,,,,160.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,Teak - 123869,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,Yes,,,,N,,,,,,Y,1000,,,,
ZSWRQEIH5P2DPYYRC7JMOCWT,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), Teak - 123869, No",,,,,,,,,visible,Physical good,,,,,,,,143.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,Teak - 123869,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,No,,,,N,,,,,,Y,1000,,,,
ZVVMQP64W7WSZPWKMB2FXQP2,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), White - 105969, Yes",,,,,,,,,visible,Physical good,,,,,,,,160.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,White - 105969,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,Yes,,,,N,,,,,,Y,1000,,,,
5QT3HPMERYPQ2Y4UYXJCTEAU,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), White - 105969, No",,,,,,,,,visible,Physical good,,,,,,,,143.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,White - 105969,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,No,,,,N,,,,,,Y,1000,,,,
SCOKBNBXE5U5KJKDMGTK3NAD,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), Black - 420269, Yes",,,,,,,,,visible,Physical good,,,,,,,,156.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,Black - 420269,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,Yes,,,,N,,,,,,Y,1000,,,,
IYJP65BFFBPVJ45LHDZRVZBT,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), Black - 420269, No",,,,,,,,,visible,Physical good,,,,,,,,137.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,Black - 420269,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,No,,,,N,,,,,,Y,1000,,,,
F3AXKAJZ355BGKK3VIDRJ52F,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), White - 471769, Yes",,,,,,,,,visible,Physical good,,,,,,,,156.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,White - 471769,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,Yes,,,,N,,,,,,Y,1000,,,,
LHTKOMWMHZXRPU67G5PU5SOW,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), White - 471769, No",,,,,,,,,visible,Physical good,,,,,,,,137.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,White - 471769,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,No,,,,N,,,,,,Y,1000,,,,
G5PBDC46UD6ORUPIK5YW57LU,Abstract Neon Floral Delight,"Extra Large 24 x 33 Inches (A1), Gunmetal - 121569, Yes",,,,,,,,,visible,Physical good,,,,,,,,160.23,,N,,,,N,#sized0e5eb96-0519-4317-96c3-908e72ddc364,Extra Large 24 x 33 Inches (A1),#colourd0e5eb96-0519-4317-96c3-908e72ddc364,Gunmetal - 121569,#gallery-mountedd0e5eb96-0519-4317-96c3-908e72ddc364,Yes,,,,N,,,,,,Y,1000,,,,
