Token,Item Name,Variation Name,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Default Unit Cost,Default Vendor Name,Default Vendor Code,Enabled RRV Richmond,Current Quantity RRV Richmond,New Quantity RRV Richmond,Stock Alert Enabled RRV Richmond,Stock Alert Count RRV Richmond,Price RRV Richmond,Enabled TBDL Richmond,Current Quantity TBDL Richmond,New Quantity TBDL Richmond,Stock Alert Enabled TBDL Richmond,Stock Alert Count TBDL Richmond,Price TBDL Richmond,Enabled TVM McHenry,Current Quantity TVM McHenry,New Quantity TVM McHenry,Stock Alert Enabled TVM McHenry,Stock Alert Count TVM McHenry,Price TVM McHenry,Enabled TVM Richmond,Current Quantity TVM Richmond,New Quantity TVM Richmond,Stock Alert Enabled TVM Richmond,Stock Alert Count TVM Richmond,Price TVM Richmond
UQ5LACMDX7R4CZNNID4JNXO6,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Red,,"<p></p><p><strong>Features:</strong></p><p>1.Bluetooth <br/></p><p>2. Compatible with iphone and android mobile phones.<br/></p><p>3.Support TF Card/Aux-in/BT Connection/FM.<br/></p><p><br/></p><p><strong>Specification:</strong><br/></p><p>Material: ABS+silicone<br/></p><p>Color: black, silver, pink, green, blue<br/></p><p>Bluetooth version: BT V5.0+EDR version<br/></p><p>Playing time: 4-5 hours<br/></p><p>Standby time: 120 hours<br/></p><p>Working range: 10 meters (free space)<br/></p><p>Battery capacity: 400 mA<br/></p><p>Transmission distance: 10 meters<br/></p><p>Frequency response range: 20Hz-20KHZ<br/></p><p>Music playing time (100% volume): about 3-4 hours<br/></p><p><br/></p><p><strong>Packages list：</strong><br/></p><p>1 X Bluetooth Headphones<br/></p><p>1 X Charging Cable<br/></p><p>1 X Audio Cable<br/></p><p>1 X Manual</p>",Labz,Labz,,,,,visible,Physical good,,,,Y,N,N,N,37.23,,N,,N,,N,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Red,,,,,,,,Y,,,,,,Y,,,,,,Y,1996,,,,,Y,,,,,
AVBDBSDLLBOZQGU3Z7ERPCSY,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Green,,,Labz,Labz,,,,,visible,Physical good,,,,,,,,37.23,,N,,,,N,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Green,,,,,,,,Y,,,,,,Y,,,,,,Y,1976,,,,,Y,,,,,
G52K4BZL6RURMC4TAFLTZNBZ,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Blue,,,Labz,Labz,,,,,visible,Physical good,,,,,,,,37.23,,N,,,,N,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Blue,,,,,,,,Y,,,,,,Y,,,,,,Y,1997,,,,,Y,,,,,
DSIVSGG7VCDDY3ECS4JWB7C6,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Silver,,,Labz,Labz,,,,,visible,Physical good,,,,,,,,37.23,,N,,,,N,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Silver,,,,,,,,Y,,,,,,Y,,,,,,Y,1924,,,,,Y,,,,,
RFCERCH3HG52WB4JNRFBY22X,2021 New Wireless Headset HIFI Stereo Bluetooth Headphones,Black,,,Labz,Labz,,,,,visible,Physical good,,,,,,,,37.23,,N,,,,N,#primary-colour77266f35-7dfd-47e8-aead-8691c013bdce,Black,,,,,,,,Y,,,,,,Y,,,,,,Y,1987,,,,,Y,,,,,
ML3R7EQABCW45ERG5VSKO4X4,"3 Pcs California White Sage + Lavender Bundle Smudge 4""",,,"These are finest harvest from Southern California.
It is white sage wrapped with lavender. It is a set of 3 bundles.",,,,,,,visible,Physical good,,,,Y,,,,33.23,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,20,,,,,N,,,,,
G5LEHVH3QK4FEWSXCOL6PWJI,3D Printing Moon Lamp Galaxy Moon Light with Remote Control,10CM,,"<p></p><p><strong>Feature：</strong><br/></p><p>1.The colorful 3D starry sky effect gives people unlimited imagination over the universe or distant galaxies.<br/></p><p>The Lamp comes with 16 Color Options to brighten up any space! <br/></p><p>2.Moon Lamp through touch sensors and the included remote controller for an amazing experience. <br/></p><p>3.Controllable lighting with built-in polymer lithium battery - supports 6-8 hours of lighting. Connect the charging cable to the power source for lighting.<br/></p><p>4.It can be used as a night light for adults and children, or as a decoration for special  friends.</p><p><br/></p><p><br/></p><p><strong>Specification:</strong><br/></p><p>Function:[Remote control 16 colors] touch or remote control<br/></p><p>Name：3D Moon Lamp<br/></p><p>Material: PVC<br/></p><p>Input: DC5V<br/></p><p>Power supply: 400 mAh lithium battery<br/></p><p>Charging time: 2 hours<br/></p><p>Using time: 6-8 hours<br/></p><p>Power: 1 W<br/></p><p>Product Size: 10CM 12CM 15cm</p><p><br/></p><p><br/></p><p><strong>Package Include:</strong><br/></p><p>Galaxy Moon Lamp *1<br/></p><p>Remote control*1（no battery)<br/></p><p>USB Cable*1<br/></p><p>Wooden Stand*1<br/></p><p>Using instruction*1</p>",,,,,,,visible,Physical good,,,,Y,,,,36.23,,N,,N,,N,#size409b706b-e563-498f-b92f-9db603feef6b,10CM,,,,,,,,N,,,,,,N,,,,,,Y,784,,,,,N,,,,,
JVBKQPLQUNBGDAGTJZ55N62G,3D Printing Moon Lamp Galaxy Moon Light with Remote Control,15CM,,,,,,,,,visible,Physical good,,,,,,,,49.23,,N,,,,N,#size409b706b-e563-498f-b92f-9db603feef6b,15CM,,,,,,,,N,,,,,,N,,,,,,Y,787,,,,,N,,,,,
WCNUSF3X54TYSIHFEGFBA32S,3D Printing Moon Lamp Galaxy Moon Light with Remote Control,12CM,,,,,,,,,visible,Physical good,,,,,,,,42.23,,N,,,,N,#size409b706b-e563-498f-b92f-9db603feef6b,12CM,,,,,,,,N,,,,,,N,,,,,,Y,792,,,,,N,,,,,
4FVFQVHDAKHDGUCBWQ4FRAYT,4 Pcs White Sage + Red Eucalyptus Bundle Smudge,,,"It is fresh harvest from Southern California. It is wrapped with red eucalyptus.
The size is 4 1/2"" length. A set of 4 bundles.",,,,,,,visible,Physical good,,,,Y,,,,33.23,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,12,,,,,N,,,,,
TS5KP4NT37LGTLVV74T57CBS,7 Chakras Engraved Crescent Moon Selenite Plate,,,"NEW crescent moon selenite plates engraved with the 7 chakra symbols. Each one is hand carved, polished and engraved. Create a beautiful space for your crystal (s) to be charged/cleansed. Selenite has a zen energy, calming and peaceful!

L 5.25"" x W 3.25"" x H .50""

Hand made in Morocco",,,,,,,visible,Physical good,,,,Y,,,,44.23,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,100,,,,,N,,,,,
TPTAMV3BWGV2U6IIFDFOYWZT,925 Sterling Silver Heavy Plated Tennis Bracelet Featuring 50 Crystals,Default Title,,"Model No.:   P-B1-6.5

Measurements: 6.5 Inches and Width: 6mm

Stone Type: Crystals by Swarovski

Note: Lengths are rounded to the nearest mm",,,,,,,visible,Physical good,,,,Y,,,,77.23,,N,,N,,N,#title7c700c40-e065-4976-8a90-f00eb5eec6a8,Default Title,,,,,,,,N,,,,,,N,,,,,,Y,5,,,,,N,,,,,
NM4E3RPGIJYOZBP34RFIVUYK,Abundance Candle / Ritual Candle / Intention Candle / Hand Poured,One Full Candle Set,,"This powerful intention candle is for the purpose of abundance in one's life, specifically in the monetary form. It is to be lit with love and gratitude focusing on the blessings you would be grateful to receive. Be open and have a grateful heart. 

This candle is 4 oz of hand-poured soy wax in a glass jar with a metal lid. This candle has a wood wick and is infused with our proprietary blend of organic essential oils to promote abundance, wealth, and blessings. This is our own tried and true recipe and we have always received unexpected blessings when using this blend. Use it sparingly. We've topped it with herbs that are known to attract money. The peppermint symbolizes the green of money, the poppyseeds are said to attract luck and money but my favorite of this combo is the Ceylon cinnamon. Cinnamon is said to bring in cash quickly but also protects and promotes healing, what a wonderful spice. We've topped it all with a citrine crystal, the crystal of prosperity. We are not promising anything but this combination has always worked for us <3 
 
This candle is a wonderful accompaniment to meditation and reflection upon life's blessings. Abundance comes to those with gratitude. This candle was made with warm and loving heart energy. 

This listing is for 1 blessings candle. The candle is part of the crystal collection and is 3 of 6. Full set will include: 1 blessings, 1 abundance, 1 peace, 1 love spell, 1 grief, and 1 space clearing candle.


Shop Info: 

We believe that your skin is just as vital as any other organ in your body. Here at Butter Me Up Organics, we like to say, ""Don't put anything on your body that you wouldn't put in it."" So, on that note, all of our products are completely edible. They may not be so tasty, however, but everything we use is non-toxic premium ingredients. Can you say that about the products you're currently using? 

Other Info:

Organic

Non-GMO

Completely cruelty-free

No sulfates, phthalates, or parabens…ever

No synthetic dyes or fragrances",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,N,N,N,199.58,,N,,N,,N,#quantitye26cc117-724e-4ba8-9b23-1af38155ae60,One Full Candle Set,,,,,,,,Y,,,,,,Y,,,,,,Y,97,,,,,Y,,,,,
ZWV6HX3S7IM4AT3WZNKAWZOX,Abundance Candle / Ritual Candle / Intention Candle / Hand Poured,One Abundance Candle,,,TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,,,,,45.64,,N,,,,N,#quantitye26cc117-724e-4ba8-9b23-1af38155ae60,One Abundance Candle,,,,,,,,Y,,,,,,Y,,,,,,Y,94,,,,,Y,,,,,
JRGAJL6M6OPW6Z5X23H4ULFD,Activated Charcoal Soap - Natural Handmade Soap,Activated Charcoal Soap,,"<p></p><p><b>Transform Your Skin with Activated Charcoal Handmade Soap</b></p><p><b>Ready for a transformative skin change?</b></p><p><b><br/></b></p><p><b>Our best-selling activated charcoal handmade soap is a game-changer, designed to quickly improve skin health. Unlike ordinary soaps, it stands out for many reasons:</b></p><p><b><br/></b></p><p><b>Why Choose Our Charcoal Soap?</b></p><p><b>Natural Detox Powerhouse: Activated charcoal absorbs toxins, heavy metals, and impurities, deeply cleansing and unclogging pores.</b></p><p><b>Smooth, Supple Skin: It removes dead skin cells, resulting in delicate, smooth, and healthy-looking skin.</b></p><p><b>Essential Oils Blend: Our formula includes an exceptional mix of essential oils known for their skin-soothing properties.</b></p><p><b>For All Skin Types: Gentle yet effective, it’s perfect for sensitive skin and won’t dry out your face or body.</b></p><p><b>Versatile Use: Ideal as both facial and body soap. Men love it too!</b></p><p><b>Unscented Option: Available for those with sensitive skin.</b></p><p><b><br/></b></p><p><b>Product Details:</b></p><p><b>Includes: One (1) bar of soap</b></p><p><b>Weight: 5 ounces per bar</b></p><p><b>Ingredients: Saponified olive oil, coconut oil, organic sustainable palm oil, organic shea butter, castor oil, water, activated charcoal, essential oils.</b></p><p><b><br/></b></p><p><b>Real Testimonials from Happy Customers:</b></p><p><b>&#34;This soap is a miracle worker! My skin started clearing up within a week.&#34;</b></p><p><b>&#34;It’s the only thing that’s worked for my skin issues since my pre-teen years—my complexion looks the best it has in 15 years.&#34;</b></p><p><b>&#34;Tried it as soon as it arrived. My skin felt different after just one wash!&#34;</b></p><p><b>&#34;I worried about dryness because of my sensitive skin, but it feels great—no tightness or oiliness, and I love the scent.&#34;</b></p><p><b>&#34;My husband and I love this soap. The activated charcoal is the only soap he uses now.&#34;</b></p><p><b>&#34;Cleared up my occasional breakouts practically overnight!&#34;</b></p><p><b>&#34;Helps with my boyfriend’s work-related rashes and also works great as shaving soap—no itchy legs after shaving.&#34;</b></p><p><b><br/></b></p><p><b>Elevate your skincare routine with our activated charcoal handmade soap. Order now for healthier, radiant skin!</b></p>",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,21.23,,N,,N,,N,#titlea5233b83-c9c2-465f-a0eb-3a56b999ad01,Activated Charcoal Soap,,,,,,,,N,,,,,,N,,,,,,Y,119,,,,,N,,,,,
6F5TQ6YNM5L6JPOHF33F33VC,Adjustable Anxiety Diffusing Lava Stone Bracelet w/Turquoise Stones,,,"Do you miss your morning routine with your favorite Fuze Body products and wish you could carry them with you throughout the day? With one of these beautiful lava stone bracelets you can. 

The different color lava stones soak up essential oils so you can enjoy them all day with just 1 - 2 drops that last for days.

To order whole bottles of essential oils, click here.",Classic Beauty,Classic Beauty,,,,,visible,Physical good,,,,Y,N,N,N,51.08,,N,,N,,N,,,,,,,,,,Y,,,,,,Y,,,,,,Y,15,,,,,Y,,,,,
JRLD76LQWSSCTHG6EGSVKICL,Affirmation Cards for Entrepreneurs,,,"This set of 30 affirmation cards features hand lettered to propel, support, and uplift YOU as an entrepreneur.

This decked is packed with research-based statements to help you manage stress, nurture your values and goals, and take steps toward concrete change. 

This affirmation deck would make the perfect gift for a loved one or a thoughtful way to practice self-care.",TRTR Curated,TRTR Curated,,,,,visible,Physical good,,,,Y,,,,22.23,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,99,,,,,N,,,,,
IWMDOV54ODDJJ5WRPV4AI7YA,Alchemical Visions tarot (dk & bk)  by Arthur Taussig,,,"This is tarot deck and book that will help you plumb the depths of your soul, expose the powerful even frightening aspects of the human psyche, and teach you to cultivate self-realization. Arthur Taussig, the creator of the Alchemical Visions Tarot, is a renowned artist and polymath: a physicist, photographer, filmmaker, and musician whose artwork has been exhibited in 300 exhibitions worldwide. His complex imagery explores the theme of the Hero’s Journey throughout the major and minor arcana and reveals often overlooked psychological implications of many of the tarot archetypes. Each card is presented as a key to cultivating self-awareness and self-realization. While the Alchemical Visions Tarot falls in the tradition of the Waite and Marseilles decks, it moves past preconceived notions of race of and gender. It is a deck that all serious tarot enthusiasts and spiritual seekers will want to explore for themselves. Comes in a 5"" x 7"" Silver box with a window showing picture and contains 78 oversized cards and a 192 page book.",,,,,,,visible,Physical good,,,,Y,,,,128.23,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,6,,,,,N,,,,,
YR4MHDNTEFKOEEVGBRXDWXDG,Amethyst Crystal Butterfly Bracelet,Amethyst,,"<p></p><p>Amethyst Crystal Butterfly Bracelets Spruce up your wardrobe and embrace your feminine energy with our Amethyst Crystal Butterfly Bracelets. Our bracelets are carefully Handcrafted with genuine amethyst crystals, known for their calming energy and positive effects on the mind and body. Elevate your style while promoting inner peace and balance.</p><p></p><p> <br/></p><p></p><p><strong>Product Information</strong><br/>Item Type: Bracelet<br/>Style: Bohemian<br/>Gender: Female<br/>Material: Semi-precious stone (amethyst crystal)<br/>Clouser: Lase -Up<br/>Size: 6.0 Inch (Adjustable)<br/></p>",,,,,,,visible,Physical good,,,,Y,,,,50.23,,N,,N,,N,#metal-color9caba8c1-ffa9-415d-935a-5f06ab19d741,Amethyst,,,,,,,,N,,,,,,N,,,,,,Y,100,,,,,N,,,,,
DYT5EDICFZVQKR7JBFUHBXZW,Anti-Aging Cream 1.7oz,Standard,SKU_965,"The anti-aging cream is ideal for achieving smooth, luminous skin. Dark circles, puffiness, wrinkles, and uneven skin texture are targeted by its special combination of banana extract, retinol, and hyaluronic acid. All skin types can benefit; use morning and night for optimal results. Use this potent cream to fight those bothersome under-eye bags! Ingredients: Water (Aqua), Musa Sapientum (Banana) Fruit Extract, Polysorbate 20, Sodium Hyaluronate, Hydrolyzed Collagen, Retinol (and) Glycine Soja (Soybean) Oil, Bisabolol, Lavendula Official Oil, Vitamin E Acetate",,,,,,,unavailable,Physical good,,,,Y,N,N,N,75.00,,Y,,N,,Y,,,,,,,,,,Y,,,,,,N,0,,,,,Y,0,,,,,Y,,,,,
YRPSGWA2NIVSBGEBFBTYUGNF,Argan Oil Face & Body Moisturizer 4oz,Standard,SKU_687,"The Argan Oil Face and Body Moisturizer offers a noticeable difference when it comes to skin health, strength, and vitality. Powered by nutrient-dense Argan Oil, this body oil firms, tones, and enhances collagen while providing long-lasting hydration. Whether you use it in the morning or evening on damp skin after bathing, this powerhouse product leaves your skin feeling smoother, softer, and strengthened from its natural protective barrier. Ideal for all skin types seeking relief - you'll never have to worry about undernourished skin again!  Ingredients: Glycine Soja (Soybean) Oil, Olea Europaea (Olive) Fruit Oil, Fragrance, Argania Spinosa Kernel Oil (Argan Oil), Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Aloe Barbadensis Leaf Juice (Aloe Vera), Lavandula Angustifolia (Lavender) Oil, Chamomilla Recutita (Matricaria) Flower Oil, Orbignya Oleifera (Babassu) Seed Oil.",,,,,,,unavailable,Physical good,,,,Y,N,N,N,40.00,,Y,,N,,Y,,,,,,,,,,Y,,,,,,N,0,,,,,Y,0,,,,,Y,,,,,
VQTWI2TJYDXYG45V4M37QXZM,Arteza Metallic Markers,Regular,,"Experience the vivid brilliance of Arteza Metallic Markers - TRTR Curated. With vibrant colors, smooth application, and long-lasting ink, these markers are a must-have for any creative project.",TRTR Curated,TRTR Curated,,,,851309007876,unavailable,Physical good,,,,Y,N,N,N,29.92,59.98,Y,,N,,N,,,,,,,,,,N,,,,,,Y,,,,,,Y,,,,,,Y,,,,,
R4RAIGUBDQ2W56LHNKUUNVOM,Aura's Incense Holder & Candle Pillar Holder,Pigment Green,,"Discover the elegance and functionality of Aura's Incense Holder and Candle Pillar Holder. Our exquisitely crafted dual-purpose holder is designed to accommodate both incense sticks and candle pillars, adding a touch of sophistication to your space. Made with precision and attention to detail, this versatile holder combines aesthetics with practicality, elevating your ambiance effortlessly.",,,,,,,visible,Physical good,,,,Y,,,,82.23,,N,,N,,N,#style5e82acf5-ba96-4e84-8182-6175410fab35,Pigment Green,,,,,,,,N,,,,,,N,,,,,,Y,1,,,,,N,,,,,
ENZ2QHKFGCGSXTGZR63MOFDD,Aura's Incense Holder & Candle Pillar Holder,Grey,,,,,,,,,visible,Physical good,,,,,,,,82.23,,N,,,,N,#style5e82acf5-ba96-4e84-8182-6175410fab35,Grey,,,,,,,,N,,,,,,N,,,,,,Y,1,,,,,N,,,,,
55M7WXELBXERDEKQD6EX5SGH,Aura's Incense Holder & Candle Pillar Holder,White,,,,,,,,,visible,Physical good,,,,,,,,82.23,,N,,,,N,#style5e82acf5-ba96-4e84-8182-6175410fab35,White,,,,,,,,N,,,,,,N,,,,,,Y,2,,,,,N,,,,,
KMTWPFCLL43XUH32OA2YA6HW,Balance Your Energy - Seven Chakra Crystal Infused Candle,,,"<p></p><p></p><p><br/></p><div><p></p><div><p></p><div><p>Each Candle has been crystal infused with crystals that best resonate with the spiritual healing purpose and may assist in providing healing that could benefit you.<br/><br/></p><p></p></div><p></p></div><p></p></div><p></p><p><strong>Includes</strong><br/>Clear Quartz, Amethyst, Lapis Lazuli, Green Aventurine, Citrine, Carnelian &amp; Red Jasper, Salted Caramel Scent, Rose Petals and Chamomile buds.</p><p></p><p>May assist with the overall balance and aligning of your chakras.</p><p></p><ul><li><br/></li></ul><p></p><p>Perfect as an aromatherapy ornament or for burning.<br/></p><p></p><p></p><p><br/></p><p>All candles are handmade from essential oils or fragrance oils &amp; organic soy wax. <br/></p><p></p><p>Each candle is unique and different therefore item received may vary slightly to images shown.<br/> <strong><br/>Burn Time:</strong> approx. 48 Hours<br/><strong>Weight:</strong> Roughly 285 grams of Soy Wax<br/><em><br/>Please note: If your order is being shipped to you, items </em><em>on top of candle may move in transit, but can be easily readjusted once received.</em></p>",,,,,,,visible,Physical good,,,,Y,,,,59.23,,N,,N,,N,,,,,,,,,,N,,,,,,N,,,,,,Y,1,,,,,N,,,,,
